TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor2_row37203_cand000083,rosetta_sidechain,15864.682415824487,AB,MP,P,M,MP_AB,M_P,9856.532164705499,9856.532164705499,1395.7920540991606,3499.2952581807563,3499.2952581807563,1016.8269605273607,9856.532164705763
Non-binding_donor2_row37151_cand000451,rosetta_sidechain,1105.2835712840326,AB,MP,P,M,MP_AB,M_P,0.020428954564295054,0.020428954564295054,85.33634564353993,979.2270670840363,979.2270670840363,441.4815074701184,0.020428955341230903
Non-binding_donor2_row37357_cand000449,rosetta_sidechain,3289.8136007266903,AB,MP,P,M,MP_AB,M_P,-1.6748632138192079,-1.6748632138192079,389.5404623886537,-0.19470320943679553,-0.19470320943679553,18.070309074127238,-1.6748632142539464
Non-binding_donor2_row37385_cand000306,rosetta_sidechain,12878.839469667333,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,3754.3018539109694,3754.3018539109694,526.0457659946894,-0.1296096848382149
Non-binding_donor2_row37407_cand000400,rosetta_sidechain,5690.317453966872,AB,MP,P,M,MP_AB,M_P,3.06116410436789,3.06116410436789,396.2333191348804,0.0025971742452384206,0.0025971742452384206,0.0,3.061164104148702
Non-binding_donor2_row37479_cand000195,rosetta_sidechain,3861.292280459051,AB,MP,P,M,MP_AB,M_P,-0.2919800384665905,-0.2919800384665905,108.9090495306745,1030.5498933891408,1030.5498933891408,813.6241400239478,-0.2919800388449403
Non-binding_donor2_row37384_cand000104,rosetta_sidechain,1035.368940122643,AB,MP,P,M,MP_AB,M_P,-5.46047261590229,-5.46047261590229,624.1151262895688,-7.892694644541166,-7.892694644541166,1570.5808678379926,-5.4604726153716
Non-binding_donor2_row37587_cand000530,rosetta_sidechain,30615.000420115473,AB,MP,P,M,MP_AB,M_P,21645.769092572416,21645.769092572416,1797.9953766602423,4053.377587647292,4053.377587647292,797.8540740627035,21645.769092572744
Non-binding_donor2_row37588_cand000510,rosetta_sidechain,4517.071202447378,AB,MP,P,M,MP_AB,M_P,2164.1385266705934,2164.1385266705934,587.1525589048706,-19.938784339913923,-19.938784339913923,1718.2770907384945,2164.13852667046
Non-binding_donor2_row37740_cand000505,rosetta_sidechain,374.2817264722928,AB,MP,P,M,MP_AB,M_P,-2.190058558918963,-2.190058558918963,148.28122623769488,-0.30012279182204793,-0.30012279182204793,25.549293143527677,-2.190058558669307
Non-binding_donor2_row37788_cand000003,rosetta_sidechain,19375.75504235554,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,15280.591117868073,15280.591117868073,1097.2465430136167,-6.954543277970515e-05
Non-binding_donor3_row38033_cand000507,rosetta_sidechain,928.791314748695,AB,MP,P,M,MP_AB,M_P,-5.152001818716599,-5.152001818716599,346.89123996405095,-0.04662712025003657,-0.04662712025003657,10.502033960194794,-5.152001818396457
Non-binding_donor3_row38775_cand000318,rosetta_sidechain,1064.0802304137637,AB,MP,P,M,MP_AB,M_P,-164.34485893937654,-164.34485893937654,177.07368244025952,-0.00010086847680668143,-0.00010086847680668143,0.0,-164.34485893922465
Non-binding_donor3_row38558_cand000566,rosetta_sidechain,2318.262226186759,AB,MP,P,M,MP_AB,M_P,0.010323640002752654,0.010323640002752654,0.0,0.0,0.0,0.0,0.010323640131900902
Non-binding_donor3_row38147_cand000244,rosetta_sidechain,1081.5896614676942,AB,MP,P,M,MP_AB,M_P,-18.057960044986203,-18.057960044986203,653.4646217761999,-26.03284793654211,-26.03284793654211,1833.833067706502,-18.05796004488525
Non-binding_donor3_row39237_cand000160,rosetta_sidechain,4176.47143443654,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,3138.9801023240693,3138.9801023240693,633.3133992985237,-0.2653694248119791
Non-binding_donor3_row39132_cand000283,rosetta_sidechain,11359.241588507786,AB,MP,P,M,MP_AB,M_P,-2.1175046115786245,-2.1175046115786245,143.95062997043863,8722.273638968998,8722.273638968998,782.9004343404475,-2.1175046117077727
Non-binding_donor3_row39225_cand000121,rosetta_sidechain,11204.292310221546,AB,MP,P,M,MP_AB,M_P,1218.4904444745862,1218.4904444745862,369.2270794309201,3381.5342590797877,3381.5342590797877,395.90864910891474,1218.490444474577
